
2022-12-06 22:57:53: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=104, n_clusters=10, nmi=0.4610, ari=0.1361, ami=0.4609, time_cost=5.1140s

2022-12-06 22:57:58: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=105, n_clusters=10, nmi=0.4694, ari=0.1383, ami=0.4692, time_cost=5.1027s

2022-12-06 22:58:04: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=106, n_clusters=10, nmi=0.4870, ari=0.1471, ami=0.4868, time_cost=5.0787s

2022-12-06 22:58:09: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=107, n_clusters=10, nmi=0.4980, ari=0.1608, ami=0.4979, time_cost=5.1328s

2022-12-06 22:58:14: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=108, n_clusters=10, nmi=0.4790, ari=0.1487, ami=0.4788, time_cost=5.1151s

2022-12-06 22:58:19: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=109, n_clusters=10, nmi=0.4831, ari=0.1433, ami=0.4829, time_cost=5.1174s

2022-12-06 22:58:24: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=110, n_clusters=10, nmi=0.4827, ari=0.1429, ami=0.4826, time_cost=5.1577s

2022-12-06 22:58:30: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=111, n_clusters=10, nmi=0.4665, ari=0.1384, ami=0.4663, time_cost=5.1325s

2022-12-06 22:58:35: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=112, n_clusters=10, nmi=0.4753, ari=0.1580, ami=0.4752, time_cost=5.1711s

2022-12-06 22:58:40: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=113, n_clusters=10, nmi=0.4842, ari=0.1543, ami=0.4841, time_cost=5.1449s

2022-12-06 22:58:45: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=114, n_clusters=10, nmi=0.4843, ari=0.1544, ami=0.4841, time_cost=5.1294s

2022-12-06 22:58:51: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=115, n_clusters=10, nmi=0.4311, ari=0.1363, ami=0.4309, time_cost=5.1963s

2022-12-06 22:58:56: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=116, n_clusters=10, nmi=0.4312, ari=0.1365, ami=0.4310, time_cost=5.1583s

2022-12-06 22:59:01: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=117, n_clusters=10, nmi=0.4393, ari=0.1338, ami=0.4391, time_cost=5.1644s

2022-12-06 22:59:06: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=118, n_clusters=10, nmi=0.4390, ari=0.1338, ami=0.4389, time_cost=5.1556s

2022-12-06 22:59:12: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=119, n_clusters=10, nmi=0.4448, ari=0.1401, ami=0.4447, time_cost=5.1189s

2022-12-06 22:59:17: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=120, n_clusters=10, nmi=0.4436, ari=0.1399, ami=0.4435, time_cost=5.1607s

2022-12-06 22:59:22: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=121, n_clusters=10, nmi=0.4437, ari=0.1400, ami=0.4435, time_cost=5.1622s

2022-12-06 22:59:27: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=122, n_clusters=10, nmi=0.4717, ari=0.1572, ami=0.4716, time_cost=5.1248s

2022-12-06 22:59:33: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=123, n_clusters=10, nmi=0.4719, ari=0.1573, ami=0.4718, time_cost=5.1599s

2022-12-06 22:59:38: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=124, n_clusters=10, nmi=0.4924, ari=0.1855, ami=0.4923, time_cost=5.1269s

2022-12-06 22:59:43: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=125, n_clusters=10, nmi=0.4638, ari=0.1626, ami=0.4637, time_cost=5.1264s

2022-12-06 22:59:48: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=126, n_clusters=10, nmi=0.4641, ari=0.1629, ami=0.4639, time_cost=5.1638s

2022-12-06 22:59:54: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=127, n_clusters=10, nmi=0.4661, ari=0.1679, ami=0.4660, time_cost=5.1129s

2022-12-06 22:59:59: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=128, n_clusters=10, nmi=0.4658, ari=0.1675, ami=0.4656, time_cost=5.1911s

2022-12-06 23:00:04: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=129, n_clusters=10, nmi=0.4663, ari=0.1678, ami=0.4661, time_cost=5.1592s

2022-12-06 23:00:09: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=130, n_clusters=10, nmi=0.4661, ari=0.1677, ami=0.4659, time_cost=5.1071s

2022-12-06 23:00:14: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=131, n_clusters=10, nmi=0.4661, ari=0.1677, ami=0.4660, time_cost=5.1089s

2022-12-06 23:00:20: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=132, n_clusters=10, nmi=0.4671, ari=0.1695, ami=0.4669, time_cost=5.1621s

2022-12-06 23:00:25: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=133, n_clusters=10, nmi=0.4597, ari=0.1682, ami=0.4595, time_cost=5.1088s

