
2022-12-08 17:28:06: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=109, n_clusters=10, nmi=0.5692, ari=0.3504, ami=0.5691, time_cost=6.6607s

2022-12-08 17:28:13: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=110, n_clusters=10, nmi=0.5693, ari=0.3503, ami=0.5692, time_cost=6.6493s

2022-12-08 17:28:19: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=111, n_clusters=10, nmi=0.5726, ari=0.3554, ami=0.5725, time_cost=6.6946s

2022-12-08 17:28:26: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=112, n_clusters=10, nmi=0.5737, ari=0.3570, ami=0.5736, time_cost=6.8364s

2022-12-08 17:28:33: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=113, n_clusters=10, nmi=0.5765, ari=0.3611, ami=0.5764, time_cost=6.7977s

2022-12-08 17:28:40: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=114, n_clusters=10, nmi=0.5775, ari=0.3630, ami=0.5774, time_cost=6.8071s

2022-12-08 17:28:47: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=115, n_clusters=10, nmi=0.5467, ari=0.2644, ami=0.5466, time_cost=6.8191s

2022-12-08 17:28:54: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=116, n_clusters=10, nmi=0.5464, ari=0.2648, ami=0.5463, time_cost=6.7745s

2022-12-08 17:29:01: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=117, n_clusters=10, nmi=0.5453, ari=0.2642, ami=0.5452, time_cost=6.6785s

2022-12-08 17:29:07: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=118, n_clusters=10, nmi=0.5450, ari=0.2640, ami=0.5449, time_cost=6.7083s

2022-12-08 17:29:14: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=119, n_clusters=10, nmi=0.5450, ari=0.2641, ami=0.5449, time_cost=6.6887s

2022-12-08 17:29:21: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=120, n_clusters=10, nmi=0.5449, ari=0.2641, ami=0.5448, time_cost=6.7104s

2022-12-08 17:29:28: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=121, n_clusters=10, nmi=0.5448, ari=0.2640, ami=0.5447, time_cost=6.6954s

2022-12-08 17:29:35: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=122, n_clusters=10, nmi=0.5451, ari=0.2640, ami=0.5450, time_cost=6.7899s

2022-12-08 17:29:42: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=123, n_clusters=10, nmi=0.5447, ari=0.2641, ami=0.5446, time_cost=6.8120s

2022-12-08 17:29:48: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=124, n_clusters=10, nmi=0.5754, ari=0.3648, ami=0.5753, time_cost=6.6852s

2022-12-08 17:29:55: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=125, n_clusters=10, nmi=0.5754, ari=0.3647, ami=0.5753, time_cost=6.6856s

2022-12-08 17:30:02: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=126, n_clusters=10, nmi=0.5754, ari=0.3647, ami=0.5753, time_cost=6.7364s

