
2022-10-09 00:08:04: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=123, n_clusters=15 nmi=0.9393, ari=0.9264, ami=0.9389, time_cost=0.2554s

2022-10-09 00:08:05: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=126, n_clusters=15 nmi=0.9391, ari=0.9260, ami=0.9387, time_cost=0.2594s

2022-10-09 00:08:05: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=130, n_clusters=15 nmi=0.9392, ari=0.9260, ami=0.9387, time_cost=0.2617s

2022-10-09 00:08:05: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=133, n_clusters=15 nmi=0.9392, ari=0.9260, ami=0.9387, time_cost=0.2674s

2022-10-09 00:08:05: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=136, n_clusters=15 nmi=0.9409, ari=0.9290, ami=0.9405, time_cost=0.2685s

2022-10-09 00:08:06: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=140, n_clusters=15 nmi=0.9415, ari=0.9298, ami=0.9411, time_cost=0.2743s

2022-10-09 00:08:06: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=143, n_clusters=15 nmi=0.9415, ari=0.9298, ami=0.9411, time_cost=0.2762s

2022-10-09 00:08:06: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=146, n_clusters=15 nmi=0.9415, ari=0.9298, ami=0.9411, time_cost=0.2784s

2022-10-09 00:08:07: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=150, n_clusters=15 nmi=0.9415, ari=0.9298, ami=0.9411, time_cost=0.2812s

2022-10-09 00:08:07: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=153, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.2842s

2022-10-09 00:08:07: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=156, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.2873s

2022-10-09 00:08:07: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=159, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.2911s

2022-10-09 00:08:08: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=163, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.2958s

2022-10-09 00:08:08: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=166, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.2998s

2022-10-09 00:08:08: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=170, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.3036s

2022-10-09 00:08:09: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=173, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.3083s

2022-10-09 00:08:09: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=176, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.3099s

2022-10-09 00:10:18: S2 datasets process:  alg_name=WassDPC(out_out), shape=(5000, 2), k_neighbors=3, n_clusters=15 nmi=0.7187, ari=0.3795, ami=0.7162, time_cost=128.6733s

2022-10-09 00:12:28: S2 datasets process:  alg_name=WassDPC(out_out), shape=(5000, 2), k_neighbors=6, n_clusters=15 nmi=0.8042, ari=0.4767, ami=0.8025, time_cost=129.7891s

